"","phase","question","trialNum","swatch","response","responseCoded","rt","subid","age","timeOfTest","condition","gender","englishExposure","trialComments","sessionComments","ageCalc"
"124","bonus","do you think this one can feel hungry?",13,"BI2A00007","n",NA,10646,"p08",5.323287671,NA,"set3","female",NA,"",NA,5y 0m 116d 18H 0M 0S
"125","bonus","do you think this one can think?",14,"BI2A00017","n",NA,8386,"p08",5.323287671,NA,"set3","female",NA,"",NA,5y 0m 116d 18H 0M 0S
"126","bonus","do you think this can feel happy?",15,"BI2A00035","n",NA,29856,"p08",5.323287671,NA,"set3","female",NA,"not a living thing",NA,5y 0m 116d 18H 0M 0S
"127","bonus","do you think this one can see?",16,"BI2A00018","n",NA,14958,"p08",5.323287671,NA,"set3","female",NA,"no eyes",NA,5y 0m 116d 18H 0M 0S
"128","bonus","do you think this one can feel pain",17,"BI2A00044","n",-2.5,9623,"p08",5.323287671,NA,"set3","female",NA,"",NA,5y 0m 116d 18H 0M 0S
"129","bonus","do you think this one can feel sad?",18,"BI2A00005","y",NA,11020,"p08",5.323287671,NA,"set3","female",NA,"",NA,5y 0m 116d 18H 0M 0S
"130","practice",NA,1,"apple_1","skip",NA,12140,"p09",6.378082192,"14:42","set4","male","always","",NA,6y 0m 136d 12H 0M 0S
"131","practice",NA,2,"apple_2","skip",NA,4135,"p09",6.378082192,"14:42","set4","male","always","",NA,6y 0m 136d 12H 0M 0S
"132","practice",NA,3,"apple_3","skip",NA,3763,"p09",6.378082192,"14:42","set4","male","always","",NA,6y 0m 136d 12H 0M 0S
"133","practice",NA,4,"apple_1","skip",NA,19523,"p09",6.378082192,"14:42","set4","male","always","",NA,6y 0m 136d 12H 0M 0S
"134","study","do you think this one is an animal?",5,"BI2A00024","definitely YES",2.5,13629,"p09",6.378082192,"14:42","set4","male","always","",NA,6y 0m 136d 12H 0M 0S
"135","study","do you think this one is an animal?",6,"BI2A00022","skip",NA,43900,"p09",6.378082192,"14:42","set4","male","always","both",NA,6y 0m 136d 12H 0M 0S
"136","study","do you think this one is an animal?",7,"BI2A00001","probably YES",1.5,15461,"p09",6.378082192,"14:42","set4","male","always","",NA,6y 0m 136d 12H 0M 0S
"137","study","do you think this one is an animal?",8,"BI2A00042","probably YES",1.5,15693,"p09",6.378082192,"14:42","set4","male","always","dolphin",NA,6y 0m 136d 12H 0M 0S
"138","study","do you think this one is an animal?",9,"BI2A00029","definitely YES",2.5,25634,"p09",6.378082192,"14:42","set4","male","always","koalas",NA,6y 0m 136d 12H 0M 0S
"139","study","do you think this one is an animal?",10,"BI2A00011","definitely YES",2.5,20660,"p09",6.378082192,"14:42","set4","male","always","elephant",NA,6y 0m 136d 12H 0M 0S
"140","study","do you think this one is an animal?",11,"BI2A00048","definitely YES",2.5,11089,"p09",6.378082192,"14:42","set4","male","always","zebra",NA,6y 0m 136d 12H 0M 0S
"141","study","do you think this one is an animal?",12,"BI2A00012","probably NO",-1.5,32815,"p09",6.378082192,"14:42","set4","male","always","IDK maybe",NA,6y 0m 136d 12H 0M 0S
"142","study","do you think this one is an animal?",13,"BI2A00039","definitely NO",-2.5,14817,"p09",6.378082192,"14:42","set4","male","always","rocks, cause animals don't have that",NA,6y 0m 136d 12H 0M 0S
"143","study","do you think this one is an animal?",14,"BI2A00021","definitely NO",-2.5,23544,"p09",6.378082192,"14:42","set4","male","always","ground",NA,6y 0m 136d 12H 0M 0S
"144","study","do you think this one is an animal?",15,"BI2A00009","maybe YES",0.5,28263,"p09",6.378082192,"14:42","set4","male","always","IDK what kind",NA,6y 0m 136d 12H 0M 0S
"145","study","do you think this one is an animal?",16,"BI2A00023","maybe NO",-0.5,28520,"p09",6.378082192,"14:42","set4","male","always","sometimes",NA,6y 0m 136d 12H 0M 0S
"146","bonus","Do you think this one has feelings?",17,"BI2A00048","skip",NA,17745,"p09",6.378082192,"14:42","set4","male","always","IDK maybe",NA,6y 0m 136d 12H 0M 0S
"147","bonus","Do you think this one can feel hungry?",18,"BI2A00011","definitely YES",2.5,11896,"p09",6.378082192,"14:42","set4","male","always","",NA,6y 0m 136d 12H 0M 0S
